Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken)
Outlook on the web Essential Training (2020),"Follow along with Gini von Courter as she takes you on a tour of Outlook on the web, the browser-based version of Microsoft Outlook. Gini shows how to send, receive, and manage email, as well as how to organize and tag messages. You can also learn to work with Outlook on the web's calendar features, including creating appointments, requesting meetings, and viewing multiple calendars. Finally, discover how to create, group, and search for contacts and use the task feature in Outlook to manage your to-do list effectively.",Course,2022,N/A,FALSE,N/A
Microsoft Power Automate Essential Training (2021),"Microsoft Power Automate is an excellent tool to help you streamline repetitive tasks and processes in your work day. Automate actions across email, Microsoft Office, Google Drive, and various productivity or social media platforms. In this course, Bill Kulterman explores the essentials needed to start using Power Automate and implement either existing or new processes inside of Power Automate. Bill covers several flows you can create to work smarter, including automatically adding and removing files from SharePoint based on emails sent, converting Word docs to PDFs, tracking working hours using the Power Automate mobile app, and more. After this course, you'll be ready to start automating business processes in your own workflow.",Course,2022,2022-06-08 05:12 UTC,FALSE,N/A
Performance Management: Employee Engagement,"In this course, strategic HR expert and author Don Phin explains what employee engagement is, what engaged work and leadership look like, and how to bring these qualities to your organization. Don shares tested and proven techniques for how to attract, hire, and retain engaged employees. He explains how to keep that engagement growing through feedback, compensation, and other methods so that your most valuable people remain at your company. He also explains how you can measure and evaluate your engagement efforts. Finally, Don shares advice on how to engage with remote workers and navigate a hybrid work environment, as well as software and apps that can help improve employee engagement.",Course,2022,N/A,FALSE,N/A
Data Fluency: Exploring and Describing Data,"Data analysis isn’t just for specialists who need to make sense of massive datasets. Decision-makers in every industry can benefit from a basic understanding of the goals and concepts of applied data analysis. In this course, Barton Poulson focuses on the fundamentals of data fluency, or the ability to work with data to extract insights and determine your next steps. Barton shows how exploring data with graphs and describing data with statistics can help you reach your goals and make better decisions. Instead of focusing on particular tools, he concentrates on general procedures that can help you solve specific problems. Barton covers how to prepare and adapt data, explore it visually, and use statistical methods to describe it. He goes in depth on probability and interference and also touches on data ethics and explainable AI.",Course,2023,N/A,FALSE,N/A
Digital Marketing Trends,"<p><div><a href=""https://www.linkedin.com/newsletters/6642894648903823360?trk=lil-course-description"" target=""_blank"" class=""artdeco-button artdeco-button--1"">View Martin's LinkedIn Newsletter</a></div><br>Stay up to date on the latest trends in digital marketing. In this biweekly series, marketing and social media expert Martin Waxman explores the newest tools and techniques that marketers are using to reach their customers. Find out what's new, how it will affect your business, and what other companies are doing to adapt. Every two weeks you can explore a new topic, including mobile, voice search, video and live streaming, artificial intelligence and virtual reality, the evolution of social media, and regulations like GDPR. The course is an effective way to understand what's happening in the world of marketing and how you can leverage these trends to help make your business more successful.</p><p>Note: Because this is an ongoing series, viewers will not receive a certificate of completion.</p>",Course,2023,N/A,FALSE,N/A
Advanced Python: Working with Databases (2020),"To create functional and useful Python applications, you need a database. Databases allow you to store data from user sessions, track inventory, make recommendations, and more.  However, Python is compatible with many options: SQLite, MySQL, and PostgreSQL, among others. Selecting the right database is a skill that advanced developers are expected to master. This course provides an excellent primer, comparing the different types of databases that can be connected through the Python Database API. Instructor Kathryn Hodge teaches the differences between SQLite, MySQL, and PostgreSQL and shows how to use the ORM tool SQLAlchemy to query a database. The final chapters put your knowledge to practical use in two hands-on projects: developing a full-stack application with Python, PostgreSQL, and Flask and creating a data analysis app with pandas and Jupyter Notebook. By the end, you should feel comfortable creating and using databases and be able to decide which Python database is right for you.",Course,2022,N/A,FALSE,N/A
Learning Microsoft Stream,"Microsoft Stream is a powerful tool within Office 365 that allows you to create, organize, and share videos with others in your organization. In this course, Gini von Courter shows how to get started using Microsoft Stream. Gini steps through how to create and view content in Stream, including how to upload videos and edit autogenerated captions. She also shares how to organize your content and share videos with your colleagues.",Course,2022,2022-06-07 13:40 UTC,FALSE,N/A
Getting Work Done in Office 365 (Microsoft 365),"Steve Somers and Steve Nguyen are Microsoft evangelists who coach top companies on using Office and David Allen's popular Getting Things Done® framework to be more productive. With these tips, and the flexibility and freedom of Office 365, you can get more done at work—anywhere, anytime. First, get a quick overview of the GTD® tenets and the applicable communication and collaboration tools in Office 365. Then explore how to plan for productivity as well as take notes, capture ideas, and effectively manage tasks using Office 365 tools.<br><br>

Next, learn which methods—email, phone, Skype, or face-to-face discussions—are most effective for communicating, and explore how to best plan and run effective meetings. By the end of the course, you'll be able to build a personal productivity strategy that works for you and your team.<br><br>Getting Things Done® is a registered trademark of the David Allen Company.",Course,2022,2022-05-25 13:21 UTC,FALSE,N/A
Nano Tips to Stop Overthinking with Shadé Zahrai,"Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this installment, unlock the secrets of living your life without the burden of overthinking, using key insights from award-winning leadership strategist and peak performance specialist Shadé Zahrai.<br><br>Learn how to stop picking apart or criticizing everything you say and do. Discover practical strategies to develop a mindset that doesn’t prevent you from achieving your goals. Find out more about how overthinking can be so detrimental to your career, your relationships, and your personal and professional life. Along the way, Shadé shows you how to gear yourself up for more positive thinking to move from worry to action with ease.",Course,2023,N/A,FALSE,N/A
Sheryl Sandberg and Adam Grant on Option B: Building Resilience,"Dodging adversity is often not a choice. Encountering a devastating event—the gut-wrenching kind that zaps away joy—is an inevitability of life. In their <em>New York Times</em> best-selling book <em>Option B: Facing Adversity, Building Resilience, and Finding Joy</em>, Facebook COO Sheryl Sandberg and Wharton psychologist Adam Grant share their insights on building resilience in the face of such setbacks. They offer practical steps you can take to reimagine and rebuild your life when your first choice—your Option A—is no longer on the table, and you're faced with the task of making the absolute best of Option B. This course highlights some of the powerful topics in this book, including how to talk to friends and colleagues who are hurting when you're not sure what to say, how to fight the idea that the hurt you're feeling is permanent, and how to give yourself permission to experience happiness again.<br><br> For additional resources and support, check out <a href=""https://optionb.org/"" target=""_blank""> OptionB.Org</a>, a nonprofit initiative dedicated to helping individuals build resilience in the face of adversity.",Course,2020,N/A,FALSE,N/A
Excel for Banking Professionals,"Across the world of banking and finance, Excel is simply indispensable. This critical tool serves as a blank canvas for building business and financial models of all types. In this course, instructor Michael McDonald shows banking professionals how to use Excel to model key questions in the fields of insurance, commercial banking, and investment banking. In the area of commercial banking, Michael covers everything from front-office loan amortization to loan portfolio modeling. For insurance, he examines how to use Excel for issues like loss modeling and pricing analysis. Plus, he shows investment banking professionals how to build models covering merger and acquisition deals, IPO pricing, and corporate actions. Tune in to learn Excel skills that you can apply to the real-world issues you face at work.",Course,2022,N/A,FALSE,N/A
Statistics Foundations 3: Using Data Sets,"Statistics are a core skill for many careers. Basic stats are critical for making decisions, discoveries, investments, and even predictions. But sometimes you need to move beyond the basics. This third course in the <i>Statistics Foundations</i> series gives you practical, example-based lessons on the intermediate skills associated with statistics: Samples and sampling, standard errors, confidence intervals, and hypothesis testing.
 <br><br>
Eddie Davila takes a look at topics like sampling, random samples, sample sizes, sampling error, trustworthiness, the central unit theorem, confidence intervals, and hypothesis testing. This course is a must for those working in data science, business, and business analytics—or anyone who wants to go beyond means and medians and gain a deeper understanding of how statistics work in the real world.",Course,2022,N/A,FALSE,N/A
Learning OneDrive (2021),"Discover how to store and share your documents, spreadsheets, and other files with OneDrive. In this course, instructor Garrick Chow shows you how to get started with OneDrive on both Mac and Windows, including how to set up Personal Vault to protect your sensitive files. Garrick covers how to upload, organize, rename, copy, download, and delete files, then dives into the best ways to share your files. He finishes up with useful advice on how to search your files efficiently in OneDrive.",Course,2022,2022-05-28 04:29 UTC,FALSE,N/A
"Corporate Finance: Environmental, Social, and Governance (ESG)","Corporations conduct business activities that have an impact on the environment, peoples' lives, and on notions of ethics and transparency. As a result, corporations have a responsibility to both their shareholders and society to explain their actions and to ensure they are  reporting their actions accurately. In this course, Jim Stice and Kay Stice use examples from specific companies to help you better understand environmental, social, and corporate governance (ESG) reporting, as well as investment strategies conducted with ESG in mind. Jim and Kay also detail ESG activities and reporting practices across different industries, including the food industry, financial services, airlines, and oil and gas.",Course,2023,N/A,FALSE,N/A
Excel: Avoiding Common Mistakes (Microsoft 365),"If you work in Excel, you know that even a small error can have big consequences, throwing off important calculations or transmitting incorrect information to your team. In this concise course, Excel expert Dennis Taylor provides quick and easy tips to help you avoid common mistakes. Dennis begins with the basics—how to display data so that errors can be easily spotted, enter data correctly the first time, and apply shortcuts for frequent entries. Dennis provides easy ways to protect worksheets and validate your data—techniques that are particularly helpful when multiple team members are contributing to the same spreadsheet. He also shows how to correctly use row and column references and avoid mistakes in formulas.",Course,2022,N/A,FALSE,N/A
Market Research Foundations,"Join market research expert Sarah Weise as she goes over some of the best marketing research techniques and how to leverage them for nearly any challenge at hand. Sarah lays the groundwork for the course by examining the role marketing research plays in making strategic decisions about your brand or product. She shows how to get to know your customers though quantitative and qualitative techniques ranging from surveys and interviews to mobile diary studies and ethnography. Learn how to clarify your research goals, how to sell your company on research, how to find the best participants, and how to present your data in succinct, meaningful formats like customer personas and journey maps. You'll walk away with the skills you need to plan your next market research study with confidence.",Course,2023,N/A,FALSE,N/A
Learning Program Management,"What is the difference between a project and a program? What do program managers do? These questions and others are answered in this course which covers the essentials of program management. Learn about the skills needed to be a program manager. Discover the milestones and phases involved in the life cycle of a program—from planning to delivery and beyond. Find out how to manage programs, align programs to business strategies, deliver beneficial results, communicate with stakeholders, govern program activities, map program schedules, and support integral program processes.",Course,2023,N/A,FALSE,N/A
Cert Prep: Certified Analytics Professional (CAP),"Want to accelerate your career in data science and analytics? Consider earning the Certified Analytics Professional (CAP) credential. This premier data science certification shows potential employers that you can glean insights from data and use your findings to determine logical next steps. In this course, Jungwoo Ryoo provides test takers with an understanding of how a core set of data science topics are relevant and necessary to obtain a CAP credential in an expedited fashion. Jungwoo covers the seven domains of the exam: business problem framing, analytics problem framing, data, methodology, model building, deployment, and lifecycle management. He also shares case studies that demonstrate how the CAP knowledge domain concepts work in the real world.",Course,2023,N/A,FALSE,N/A
Root Cause Analysis: Getting to the Root of Business Problems,"Problems are nothing new, but how do we get to the root causes of the problems and fix them? In this course, Sam Yankelevitch addresses root cause analysis and how you can make it work for your business. Sam defines root cause analysis (RCA) and explains how to work with others to find root causes. He describes how to build a Pareto chart to separate vital causes from trivial ones, then goes into the Is/Is Not method, process mapping, fishbone diagrams, five whys analysis, and more. Sam discusses how you can combine different root cause analysis methods and offers tips and suggestions to make your root cause analysis process more effective and efficient. He finishes up with an exploration of the importance of RCA for your business.",Course,2022,2022-10-07 05:00 UTC,FALSE,N/A
Presenting to Senior Executives,"<div><a href=""https://www.linkedin.com/newsletters/6765070600055635968?trk=lil-course-description"" target=""_blank"" class=""artdeco-button artdeco-button--1"">View Tatiana's LinkedIn Newsletter</a></div><br>Exposure to senior executives (also known as the C suite) can change the trajectory of your career. If you’re presenting to this audience, you need to navigate unique challenges, like getting their attention and garnering action. In this course, learn methods you can use to communicate your message effectively to these key decision makers, resulting in buy-in and response. Discover the value of brevity and the importance of conveying the return on investment (ROI). Learn how to handle challenging questions, frame your message, harness the power of story, and use a high-level approach. Explore how to navigate the unexpected, from interruptions and tech failures to re-engaging the distracted. Additionally, find out how to demonstrate competence, earn credibility, and generate results by making the most of your presentation opportunity.",Course,2022,2022-05-20 08:52 UTC,FALSE,N/A
Data Analytics: Dashboards vs. Data Stories,"In the world of data analytics, you're consistently presented with the same decision when it comes to how you'll communicate your data and insights. For each project, you need to decide whether to use a dashboard or tell a data story. In this course, business intelligence architect Sara Anstey provides you with the necessary information you need to make this decision with confidence. First, Sara covers the fundamentals of making decisions with data and shares how the role of a data analyst makes this possible for organizations. She then dives into the topics of data science dashboards and data storytelling, highlighting the pros and cons of each and providing the details you need to determine which approach is right for you. Sara closes by recapping key concepts, leaving you prepared to pick between each of these options with ease and intentionality.<br><br>This course was created by <a href=""http://www.onlymadecraft.com"" target=""_blank"">Madecraft</a>. We are pleased to host this training in our library.<br><br><img src=""http://files3.lynda.com/files/course_description_images/MadeCraft-Description-Logo.jpg"" height=""20%"" width=""20%"">",Course,2022,N/A,FALSE,N/A
Social Media Marketing: Strategy and Optimization (2020),"<div><a href=""https://www.linkedin.com/newsletters/6642894648903823360?trk=lil-course-description"" target=""_blank"" class=""artdeco-button artdeco-button--1"">View Martin's LinkedIn Newsletter</a></div><br>Learn a three-step recipe for optimizing your social media marketing mix. Get a fresh perspective on your content, your choice of platform, and your strategy. Join digital communication strategist Martin Waxman for this illuminating short course that will get even the most experienced marketers out of a social media rut. Learn how to analyze what's working—and what's not—with SWOT analysis, and adapt your plan to capitalize on your strengths. Then Martin reviews the latest developments on Facebook, Instagram, Twitter, LinkedIn, YouTube, Pinterest, Snapchat, and TikTok, so you understand how to position your brand correctly on each platform. Plus, learn how to turn strategy into action and create paid and organic content and stories that connect.",Course,2022,N/A,FALSE,N/A
Python for Non-Programmers,"Did you know that learning Python is one of the easiest ways to learn to code? It’s true. And in this course you can avoid the jargon and make learning how to code a lot more fun. You don’t have to be an expert technician, either. Join instructor Nick Walter and find out what you need to get started now.<br><br>In this course, Nick teaches the fundamentals of Python to you: a non-programmer, a user with little to no coding experience. Learn more about what Python is, and what it is and isn’t used for. Explore how Python works with numbers and how you can interact with simple programs such as a simple number-guessing game. Find out how to work with text in Python by building a reusable function to count the words in a block of text. And along the way, tackle quick challenges and other games that allow you to put your new skills to the test.",Course,2022,N/A,FALSE,N/A
Data Visualization for Data Analysis and Analytics,"<div><a href=""https://www.linkedin.com/newsletters/6599926882873991168?trk=lil-course-description"" target=""_blank"" class=""artdeco-button artdeco-button--1"">View Bill's LinkedIn Newsletter</a></div><br>As a data analyst, you probably already know how to build visualizations and use tools like Excel and Tableau. This course challenges you to go beyond the data, beyond the software, and start thinking more clearly and strategically about the foundations of great communication design. Bill Shander, founder of Beehive Media, focuses on the key challenges that analysts face trying to communicate complex information, and how visual communication can help. He breaks down ten key components of great data visualizations—built in any program—and shows innovative ways of rethinking the slides, charts, diagrams, and dashboards you work with every day.",Course,2022,N/A,FALSE,N/A
Power BI Data Analyst Associate (PL-300) Cert Prep: Connecting to Power BI Data,"The Power BI Data Analyst Associate certification verifies your capabilities as a data science professional to leverage the Microsoft Power BI data tool. This course is part of a larger series designed to prepare you for the Microsoft PL-300 certification exam. Join instructor Joshua Rischin as he explores the skills you need to know to get ready to tackle the official exam. Learn to connect with a wide range of data sources, including Excel files, CSV flat files, databases, cloud-based data services, and more, as well as how to review and update data properties such as permissions, field properties, and storage options. Along the way, Joshua covers best practices for identifying and resolving Power BI performance issues to help you optimize data flows and outputs.",Course,2023,N/A,FALSE,N/A
Learning React.js,"React.js is designed to make the process of building modular, reusable user interface components simple and intuitive. In this course, Eve Porcello guides you through the foundations of React development, including the use of React hooks—a new feature starting in React 16.8 that allows developers to add functionality to components without writing classes. Eve shows how to create components, display dynamic data with properties, and render components using JSX syntax.  Eve also manages the state of components with hooks; uses powerful React enhancements, such as the useEffect hook for loading remote data; and leverages cloud deployment options for apps created with create-react-app.<br><br>
 
This course was created by Eve Porcello. We are pleased to offer this training in our library.",Course,2021,N/A,FALSE,N/A
Managing Your Emotional Response to Workplace Stress,"We spend approximately 70 percent of our lives at work. It’s no wonder, then, why our careers are a defining aspect of our identities. The risk is in letting work become all of who you are. When you are too emotionally invested in work, you may take failures, challenges, and feedback personally. In this course, Melody Wilding shows you how you can manage your emotions about work more effectively. She teaches you new mindsets and tools to separate your self-worth from your career, so that you can build greater confidence and work-life balance. Melody also shares techniques to address those moments when you find yourself reactive about work. With the line between work and life blurrier than ever and record levels of burnout, join Melody in this course to discover healthy ways to regulate your emotions to better navigate the inevitable stresses and setbacks that arise in your career.",Course,2023,N/A,FALSE,N/A
Tech Recruiting Foundations: 1 Introduction,"Tech is one of those rare places where demand for jobs is higher than the supply. With that in mind, how can recruiters and hiring managers get the best candidates for the job into the jobs they’re trying to fill? One way is by understanding the tech well enough to know exactly what you need. In this series of courses, instructor Ayub Shaikh goes over high-level IT concepts and breaks them into related, easy-to-remember groupings. This course introduces you to the series. Ayub defines critical terms and trends that you will need to understand, then explains how and why IT recruitment got started. He covers what IT is, shows you the basic structure of IT roles, and describes hardware and the specific skills that specific hardware may require.
<br><br>
Note: This course was created by Holistica Consulting. We are pleased to host this training in our library.",Course,2022,N/A,FALSE,N/A
Learning Microsoft Project,"<div><a href=""https://www.linkedin.com/newsletters/6767151075767197696?trk=lil-course-description"" target=""_blank"" class=""artdeco-button artdeco-button--1"">View Bonnie's LinkedIn Newsletter</a></div><br>Microsoft Project is a robust tool for managing project deadlines, tasks, and resources. Get a quick crash course with Project Management Professional (PMP) Bonnie Biafore. Bonnie begins by showing how to create a basic project and set up your work calendar. Next, she walks through creating and modifying tasks—the building blocks of any project. Bonnie also covers how to assign resources to your project and address resource overallocations. Finally, learn how to communicate your plan using the built-in reports and visualizations, such as one-click burndown charts.",Course,2022,2022-06-01 06:22 UTC,FALSE,N/A
Six Sigma: Green Belt,"Six Sigma is a customer-focused, data-driven methodology that is widely used to analyze and improve the performance of processes, products, and services. In this course, get the training you need to become a Six Sigma Green Belt. Green Belts participate in—or lead—Six Sigma projects on a part-time basis under the guidance of a Black Belt. Operational excellence expert, master Black Belt trainer, and professor Dr. Richard Chua explains how to use Six Sigma and its process, quality, and statistical tools as he prepares you to become a Six Sigma Green Belt.<br><br>   

Note: Dr. Richard Chua builds upon his <i>Six Sigma Foundations</i> and <i>Learning Minitab</i> courses, and covers an array of topics, including measurement system analysis, descriptive statistics, hypothesis testing, design of experiments, statistical process control, and more.",Course,2022,N/A,FALSE,N/A
Microsoft Teams Essential Training (2019),"More from LinkedIn Learning's top experts<br><div><a href=""https://www.linkedin.com/newsletters/6846149405310103552?trk=lil-course-description"" target=""_blank"" class=""artdeco-button artdeco-button--1"">Business Software Newsletter</a></div><br>Discover the core features of Microsoft Teams and see how you can bring together colleagues, create conversations and content, and collaborate more effectively. Author Nick Brazzi walks you through the essentials of using Teams, starting with basic setup, creating new teams, and joining existing teams. Nick covers organizing teams and members and shows how to conduct conversations. He explains how to create scheduled meetings or initiate impromptu meetings inside Teams, and demonstrates file sharing. Finally, Nick walks you through customizing user settings, and explains how to use Teams on mobile devices.",Course,2022,2022-06-01 05:46 UTC,FALSE,N/A
Power BI Weekly,"Welcome to the Power BI weekly series. Each week, instructor Helen Wall covers an interesting and relevant topic in Power BI, the low-code business intelligence platform from Microsoft. Helen covers topics like optimizing on-screen actions, power query techniques, and customizing visuals. If you want to get more out of this interactive data visualization software, check back weekly for Helen’s latest lessons.",Course,2022,N/A,FALSE,N/A
Microsoft Project Quick Tips,"<div><a href=""https://www.linkedin.com/newsletters/6767151075767197696?trk=lil-course-description"" target=""_blank"" class=""artdeco-button artdeco-button--1"">View Bonnie's LinkedIn Newsletter</a></div><br>Take a quick minute or two and learn valuable, time-saving Microsoft Project tips from a project management pro, Bonnie Biafore, PMP and MCTS. She offers a series of bite-size insider solutions for many of the most common issues that frustrate Project users, covering data entry, scheduling, formatting, staying organized, and more.",Course,2023,N/A,FALSE,N/A
Excel: Creating a Basic Dashboard,"In this course, instructor Curt Frye shows you how to summarize spreadsheet data effectively to support decision-making throughout your organization. Curt explains how to set up a supporting workbook, including how to manage and filter data, streamline charts for dashboards, and create sparklines. He also goes over the process of creating a dashboard worksheet. Curt covers creating and managing cell links, using PivotTable data in a formula, extending your dashboard with hidden rows, and more.",Course,2023,N/A,FALSE,N/A
Learning Power BI Desktop,"Power BI Desktop—the powerful data analysis and visualization software from Microsoft—can help you get more insights from your data, whether that data is stored on your computer or in the cloud. In this course, discover how to leverage this easy-to-use tool to more efficiently model and visualize data. Learn how to connect various data sources, including Excel, databases, and web data sources like Wikipedia. Explore how to search and transform your data using the built-in Query Editor. Plus, instructor Gini von Courter shows how to build and arrange visualizations, create interactive reports, share your work, manage your published files in the Power BI service, and more.",Course,2022,N/A,FALSE,N/A
Data Fluency: Exploring and Describing Data (2019),"Data analysis isn’t just for specialists who need to make sense of massive datasets. Decision-makers in every industry can benefit from a basic understanding of the goals and concepts of applied data analysis. In this course, join Barton Poulson as he focuses on the fundamentals of data fluency, or the ability to work with data to extract insights and determine your next steps. Barton shows how exploring data with graphs and describing data with statistics can help you reach your goals and make better decisions. Instead of focusing on particular tools, he concentrates on general procedures that can help you solve specific problems. Find out how to prepare data, explore it visually, and use statistical methods to describe it.",Course,2022,2022-06-14 04:05 UTC,FALSE,N/A
Conducting Research in a Post-Pandemic World,"Research is typically an interactive hands-on process. But with so much currently happening in our distributed, post-pandemic world, it’s important to keep a few points in mind so you can keep taking care of yourself. In this course, instructor and UX expert Cory Lebson gives you an overview of the key considerations, challenges, and best practices for productive, remote research.<br><br>Learn about planning and conducting successful research projects during troubling global times, with strategies for recruitment, flexibility, logistics, and mixed methods to keep everyone safe when meeting in person or using a hybrid approach. Cory shares insights on how to take care of yourself and manage your emotions throughout the process, mitigating risk and stress in tricky research sessions, and practicing kindness every step of the way.",Course,2023,N/A,FALSE,N/A
SharePoint Online Essential Training: Beyond the Basics,"Interested in taking your SharePoint Online skills to the next level? If so, then this course is for you. Here, instructor Gini von Courter breezes past basic concepts, focusing instead on techniques that can help power users and site owners leverage the intermediate and advanced features of SharePoint Online. Gini steps through how to create a site, apply a logo and theme, and associate a site with a hub. She shows how to work with list apps, including how to edit a list form using PowerApps. She also demonstrates how to add the Microsoft Teams experience to a SharePoint site, as well as leverage the other tools in the Microsoft Power platform—Power Automate and Power BI—to further extend the capabilities of this powerful collaboration software. Discover how to customize page layouts and web parts, work with permissions, and more.",Course,2022,2022-06-07 09:53 UTC,FALSE,N/A
Microsoft Forms Essential Training,"Learn how to create surveys and quizzes quickly and easily with Microsoft Forms, which comes bundled in the Office 365 suite. Curt Frye begins by showing how to create a basic survey, including how to add different question types—multiple choice, open-ended text, rating, and more—add ranking options, and allow for file uploads. Next, Curt steps through creating quizzes, including adding quiz questions, assigning point values to questions, and adjusting quiz options. Once you've learned to create a basic survey or quiz, you can learn how to edit forms, share them with other users, adjust themes, and preview how your form will look on different platforms. Finally, Curt shows how to view and analyze your results.",Course,2022,2022-05-27 04:17 UTC,FALSE,N/A
Learning Design for Sustainability,"The world is facing a number of environmental, economic, and social challenges. Our future depends on sustainable solutions that improve our lives, without adversely affecting our neighbors or our ecosystems. Designers have a unique role to play in the way forward. Watch this course to explore the tools, resources, and best practices of sustainable design. Designer, educator, and author Scott Boylston covers the philosophy of designing physical objects, the built environment, and services to comply with the principles of social, economic, and ecological sustainability. He walks through technical and social innovations that are making real change possible, across a variety of disciplines.",Course,2023,N/A,FALSE,N/A
Six Sigma: White Belt,"Six Sigma is a highly effective and easy-to-use approach to quality improvement. If you’re looking to learn more about the basics, why not consider getting a white belt to boost your skills? In this course, instructor Tina Agustiady shows you the fundamental principles of using Lean Six Sigma to manage projects like a pro.<br><br>Explore the core components of Lean Six Sigma to drive continuous and meaningful team-based improvement. Find out how to implement the Six Sigma phased approach, which guides you through defining, measuring, analyzing, improving, and controlling a project. Along the way, Tina walks you through some other concepts in Lean Six Sigma methodology, including voice of the customer (VOC), root cause analysis (RCA), fishbone diagrams, visual management systems, and how to complete a successful plan-do-check-act (PDCA) cycle.",Course,2023,2022-09-14 04:03 UTC,FALSE,N/A
"Sustainability for Design, Construction, and Manufacturing","Design, construction, and manufacturing are vital industries, but have you wondered about ways to make them sustainable while adding value? In this course, instructor Fulya Kocak Gin explains what sustainability means for an organization and how you can implement it as a business strategy. Fulya explores the reasons behind increasing demand for sustainability. She pulls examples from architecture, engineering, construction, and manufacturing to show you the various roles involved in sustainability, how to set up a sustainability program, and the reasons to pursue these strategies. Fulya identifies key sustainability concepts, such as a circular economy, green buildings, and environmental management systems. She concludes by discussing how climate change affects everyone and how organizations can offset risks and take advantage of the opportunities that climate change presents.",Course,2023,N/A,FALSE,N/A
SAP ERP Essential Training,"The SAP Enterprise Resource Planning (ERP) platform helps large organizations streamline their processes across each segment of their business, from sales to financial accounting. In this course, instructor Justin Valley covers key concepts within SAP ERP and shares valuable tips to help you use this enterprise software most effectively. Justin explains the difference between master data and transactional data in SAP before diving into commonly used SAP modules, including SAP Materials Management (MM) and SAP Sales and Distribution (SD). He also shows how end users can navigate inside SAP, use various search methods to find data, run and export reports from SAP, and more.",Course,2023,N/A,FALSE,N/A
Business Analysis for Project Managers,"<div><a href=""https://www.linkedin.com/newsletters/6910288333902417920?trk=lil-course-description"" target=""_blank"" class=""artdeco-button artdeco-button--1"">View Greta's LinkedIn Newsletter</a></div><br>Business analysis may seem like a broad term, but it fulfills a very specific demand within a company’s operations. A business analyst identifies business needs, and recommends relevant solutions and the requirements needed to deliver those solutions. However, some companies may not have dedicated business analysts, and it often falls to project managers to perform business analysis duties. In this course, Greta Blash shows project managers how to incorporate business analysis into their workflow.<br><br>Greta illustrates the concepts by looking at a topic familiar to project managers—projects—through the lens of business analysis, starting with the pre-project phase where needs are identified, to identifying stakeholders, developing a project roadmap, analyzing requirements, all the way to closure and deployment. By the end of this course, you’ll be able to employ business analysis concepts to avoid inefficiencies, mistakes, and reworking, and deliver your projects on budget and on time.",Course,2022,N/A,FALSE,N/A
Scrum: The Basics,"If you've spent any time in the project management world, you've likely heard of scrum—the popular framework for managing complex processes. If this mysterious-sounding framework has piqued your interest, this course can help provide you with a basic understanding of what scrum is and how you can start implementing it at work. Follow scrum expert Kelley O'Connell as she walks through why scrum has taken the business world by storm, and how it asks you to organize your team and work. Plus, she explains how to manage your projects and measure how they're faring, and set manageable improvement goals.",Course,2022,N/A,FALSE,N/A
SOLIDWORKS: Designing a Stirling Engine,"Expand your SOLIDWORKS 3D CAD skills by learning how to design a machine with moving parts. In this course, learn through designing the components of an early-19th-century rival to the steam engine. Follow along with Johno Ellison as he leads you through the steps for creating a Stirling engine, a closed-cycle heat engine invented by Robert Stirling in 1816. Johno shows how to use SOLIDWORKS to create all the parts, combine the parts into an assembly, and prepare drawings for the final product. Johno also provides tips and ideas for moving the creation from a virtual to physical design.",Course,2021,N/A,FALSE,N/A
SQL: Data Reporting and Analysis (2019),"Do you rely on IT to get the data you need? Are you often stuck waiting in line for data, and wish you could just retrieve it yourself? In this course, learn how to get the data you want by writing a bit of SQL code. You won't just be able to pull data out of the database; you'll be able to manipulate it: merging it, grouping it, and relabeling it to get just the report you want. Join Emma Saunders as she shows how to write simple SQL queries for data reporting and analysis using a publicly accessible online database. Learn how to filter, group, and sort data, using built-in SQL functions to format or calculate results. Discover how to perform more complex queries, such as joining data together from different database tables. Last but not least, she introduces views, procedures, functions, and variables.",Course,2022,2022-06-07 06:07 UTC,FALSE,N/A
Project Management Foundations (2019),"<div><a href=""https://www.linkedin.com/newsletters/6767151075767197696?trk=lil-course-description"" target=""_blank"" class=""artdeco-button artdeco-button--1"">View Bonnie's LinkedIn Newsletter</a></div><br>Project management is a set of techniques that anyone can apply to achieve goals and make projects more successful. Project management can be used to guide small, simple projects as well as complex enterprise-wide initiatives. Bonnie Biafore has always been fascinated by how things work and how to make things work better. In this course, she explains the fundamentals of project management, from establishing project goals and objectives and building a project plan to managing resources and work, meeting deadlines, and closing the project. Along the way, she provides tips for communicating, holding meetings, keeping a project on track, and gaining customer acceptance. This course provides exercises for most videos based on a healthcare/IT case study project.",Course,2022,N/A,FALSE,N/A
Microsoft Dynamics 365 and the Power Platform,"Microsoft Flow, Power BI, and PowerApps make up the Power Platform, and are designed to integrate with the cloud-based functions of Dynamics 365. In this course, learn how to leverage the power of Dynamics 365 as a cloud-based enterprise resource planning (ERP) solution, along with the business automation and data analysis capabilities of the Power Platform. Instructor Gini von Courter covers how to build complete business solutions that use data to make business decisions. Discover how to create apps using PowerApps and the Common Data Service, automate tasks with Microsoft Flow, and visualize data with Power BI—all from Dynamics 365.",Course,2023,N/A,FALSE,N/A
